timestamps,stimulus,TP9,AF7,AF8,TP10,Right AUX
1758510882.847125,STAR,-44.921875,-27.83203125,-8.7890625,-21.97265625,-314.94140625
1758510882.8510313,STAR,-50.78125,-34.66796875,-12.20703125,-33.69140625,-303.22265625
1758510882.8549376,STAR,-24.90234375,-40.0390625,-18.5546875,-28.80859375,-132.8125
1758510882.8588438,STAR,-18.06640625,-51.26953125,-29.78515625,-23.92578125,-37.109375
1758510882.86275,STAR,-43.9453125,-49.31640625,-47.36328125,-27.34375,-45.8984375
1758510882.8666563,STAR,-52.24609375,-29.296875,-60.05859375,-30.76171875,-32.2265625
1758510882.8705626,STAR,-25.390625,-14.16015625,-66.89453125,-19.04296875,655.76171875
1758510882.8744688,STAR,-17.08984375,-14.16015625,-68.359375,-16.11328125,699.21875
1758510882.878375,STAR,-41.50390625,-30.76171875,-49.31640625,-29.78515625,-190.4296875
1758510882.8822813,STAR,-55.17578125,-35.15625,-29.296875,-27.34375,-269.53125
1758510882.8861876,STAR,-33.203125,-48.33984375,-36.1328125,-16.11328125,-125.48828125
1758510882.8900938,STAR,-9.27734375,-43.45703125,-52.24609375,-14.16015625,-201.171875
1758510882.892125,RECT,-28.3203125,-19.53125,-50.78125,-20.01953125,-250.48828125
1758510882.8960311,RECT,-58.59375,-27.83203125,-44.921875,-25.390625,-177.734375
1758510882.8999374,RECT,-50.78125,-31.25,-48.828125,-25.390625,-115.72265625
1758510882.9038436,RECT,-27.83203125,-25.390625,-41.50390625,-20.5078125,-214.84375
1758510882.90775,RECT,-34.66796875,-23.4375,-36.1328125,-18.5546875,-229.4921875
1758510882.9116561,RECT,-51.7578125,-19.53125,-32.2265625,-16.11328125,221.6796875
1758510882.9155624,RECT,-48.828125,-26.3671875,-32.71484375,-16.6015625,320.80078125
1758510882.9194686,RECT,-23.92578125,-39.55078125,-34.1796875,-20.01953125,-56.15234375
1758510882.923375,RECT,-23.92578125,-44.921875,-38.0859375,-28.80859375,-66.40625
1758510882.9272811,RECT,-50.29296875,-45.8984375,-55.6640625,-28.80859375,269.04296875
1758510882.9311874,RECT,-56.15234375,-51.26953125,-66.40625,-22.94921875,628.90625
1758510882.9350936,RECT,-41.50390625,-50.29296875,-57.12890625,-28.3203125,88.37890625
1758510882.952125,STAR,-35.64453125,-48.828125,-39.55078125,-29.296875,-341.796875
1758510882.9560313,STAR,-63.96484375,-52.734375,-38.57421875,-40.0390625,-226.5625
1758510882.9599376,STAR,-92.28515625,-51.7578125,-57.6171875,-55.6640625,-286.62109375
1758510882.9638438,STAR,-74.21875,-52.24609375,-63.96484375,-60.05859375,-319.3359375
1758510882.96775,STAR,-47.36328125,-49.31640625,-45.41015625,-54.19921875,-179.19921875
1758510882.9716563,STAR,-47.8515625,-36.1328125,-43.9453125,-40.52734375,125.48828125
1758510882.9755626,STAR,-65.91796875,-41.50390625,-52.734375,-39.55078125,176.26953125
1758510882.9794688,STAR,-56.640625,-54.19921875,-46.38671875,-35.15625,-176.26953125
1758510882.983375,STAR,-35.15625,-50.78125,-54.6875,-22.4609375,-158.203125
1758510882.9872813,STAR,-44.921875,-48.828125,-63.4765625,-27.83203125,525.87890625
1758510882.9911876,STAR,-64.94140625,-44.921875,-63.96484375,-34.66796875,179.19921875
1758510882.9950938,STAR,-65.91796875,-51.7578125,-47.36328125,-30.2734375,-462.890625
1758510882.997125,RECT,-46.38671875,-50.29296875,-24.4140625,-31.73828125,-163.57421875
1758510883.0010312,RECT,-44.921875,-41.50390625,-31.73828125,-38.0859375,62.5
1758510883.0049374,RECT,-71.77734375,-45.41015625,-48.33984375,-52.24609375,-274.90234375
1758510883.0088437,RECT,-74.21875,-40.52734375,-49.8046875,-62.01171875,-421.38671875
1758510883.01275,RECT,-42.48046875,-43.9453125,-52.734375,-59.08203125,-212.40234375
1758510883.0166562,RECT,-28.3203125,-61.5234375,-57.6171875,-55.17578125,104.98046875
1758510883.0205624,RECT,-48.828125,-62.98828125,-45.8984375,-58.59375,12.6953125
1758510883.0244687,RECT,-56.640625,-56.640625,-41.015625,-56.640625,-197.75390625
1758510883.028375,RECT,-34.66796875,-45.41015625,-57.6171875,-47.8515625,190.4296875
1758510883.0322812,RECT,-14.16015625,-47.36328125,-66.89453125,-39.0625,778.80859375
1758510883.0361874,RECT,-25.390625,-61.03515625,-58.59375,-50.78125,203.61328125
1758510883.0400937,RECT,-58.59375,-63.96484375,-59.5703125,-68.359375,-257.8125
1758510883.042125,RECT,-52.24609375,-52.24609375,-80.56640625,-57.12890625,38.0859375
1758510883.0460312,RECT,-22.94921875,-41.9921875,-87.890625,-52.734375,-80.56640625
1758510883.0499375,RECT,-36.62109375,-61.03515625,-63.96484375,-59.08203125,-290.0390625
1758510883.0538437,RECT,-64.94140625,-67.3828125,-49.8046875,-56.15234375,-302.734375
1758510883.05775,RECT,-66.89453125,-58.59375,-55.17578125,-59.5703125,-243.1640625
1758510883.0616562,RECT,-35.15625,-59.5703125,-59.08203125,-57.12890625,-124.51171875
1758510883.0655625,RECT,-6.8359375,-53.7109375,-70.80078125,-40.0390625,-44.921875
1758510883.0694687,RECT,-18.5546875,-45.8984375,-104.98046875,-37.109375,-164.55078125
1758510883.073375,RECT,-42.48046875,-72.75390625,-98.14453125,-41.50390625,200.1953125
1758510883.0772812,RECT,-32.71484375,-90.33203125,-58.59375,-44.43359375,167.96875
1758510883.0811875,RECT,-18.5546875,-65.4296875,-51.7578125,-48.33984375,-303.7109375
1758510883.0850937,RECT,-38.57421875,-47.36328125,-63.4765625,-49.8046875,-159.1796875
1758510883.088125,RECT,-55.6640625,-39.0625,-42.48046875,-41.9921875,-160.64453125
1758510883.0920312,RECT,-46.38671875,-51.7578125,-31.25,-32.2265625,-281.25
1758510883.0959375,RECT,-27.83203125,-63.4765625,-63.4765625,-31.25,-101.07421875
